# key | doi   (written by tools/apply_verification.py from Crossref matches; do not type DOIs by hand)
rose2018 | 10.1126/science.aao0290
rosskopf2014 | 10.1103/physrevlett.112.147602
ruf2021 | 10.1063/5.0056534
rugar2021 | 10.1103/physrevx.11.031021
russell2012 | 10.1109/led.2012.2210020
russell2013 | 10.1063/1.4832455
saha2021 | 10.1109/led.2021.3075687
saha2022 | 10.1109/led.2022.3164603
saha2022mod | 10.1109/led.2022.3181444
saha2023 | 10.1109/led.2022.3226426
sangtawesin2019 | 10.1103/physrevx.9.031052
sasama2018 | 10.1063/1.5055812
sasama2022 | 10.1038/s41928-021-00689-4
scarabelli2016 | 10.1021/acs.nanolett.6b01692
schirhagl2014 | 10.1146/annurev-physchem-040513-103659
schofield2003 | 10.1103/physrevlett.91.136104
schreck2014 | 10.1557/mrs.2014.96
schreck2017 | 10.1038/srep44462
schroder2017 | 10.1038/ncomms15376
schuelke2013 | 10.1016/j.diamond.2012.11.007
schukraft2016 | 10.1063/1.4948746
sewani2020 | 10.1119/10.0001905
shi2010 | 10.1103/physrevlett.105.040504
shields2015 | 10.1103/physrevlett.114.136402
shih1997 | 10.1063/1.365990
shikata2016 | 10.1016/j.diamond.2016.03.013
shor1995 | 10.1103/physreva.52.r2493
shor1997 | 10.1137/s0097539795293172
shulaker2013 | 10.1038/nature12502
silveira1996 | 10.1109/4.535416
sipahigil2016 | 10.1364/cleo_qels.2017.fth3h.4
siyushev2019 | 10.1126/science.aav2789
smeltzer2011 | 10.1088/1367-2630/13/2/025021
smith2019 | 10.1515/nanoph-2019-0196
spinicelli2011 | 10.1088/1367-2630/13/2/025014
stapper1983 | 10.1109/proc.1983.12619
stas2022 | 10.1126/science.add9771
staudacher2013 | 10.1126/science.1231675
steane1996 | 10.1103/physrevlett.77.793
steiner2010 | 10.1103/physrevb.81.035205
stolk2024 | 10.1126/sciadv.adp6442
strobel2004 | 10.1038/nature02751
stuerner2021 | 10.1002/qute.202000111
sukachev2017 | 10.1103/physrevlett.119.223602
sumiya2012 | 10.1143/jjap.51.090102
sun2015 | 10.1063/1.4913430
tachibana1992 | 10.1103/physrevb.45.11975
tallaire2013 | 10.1016/j.crhy.2012.10.008
taminiau2014 | 10.1038/nnano.2014.2
taylor2008 | 10.1038/nphys1075
teissier2014 | 10.1103/physrevlett.113.020503
teraji2015 | 10.1002/pssa.201532449
tetienne2012 | 10.1088/1367-2630/14/10/103033
togan2010 | 10.1038/nature09256
tordjman2014 | 10.1002/admi.201300155
toyli2010 | 10.1021/nl102066q
toyli2012 | 10.1103/physrevx.2.031001
toyli2013 | 10.1073/pnas.1306825110
tran2016 | 10.1364/cleo_qels.2016.ftu4d.1
traore2014 | 10.1063/1.4864060
trifunovic2013 | 10.1103/physrevx.3.041023
trusheim2020 | 10.1103/physrevlett.124.023602
tsao2018 | 10.1002/aelm.201600501
turner2020 | 10.1103/physrevapplied.14.014097
twitchen2004 | 10.1109/ted.2004.826867
ueda2006 | 10.1109/led.2006.876325
umezawa2018 | 10.1016/j.mssp.2018.01.007
unden2016 | 10.1103/physrevlett.116.230502
uzansaguy1995 | 10.1063/1.115004
vandam2019 | 10.1103/physrevb.99.161203
vandersar2012 | 10.1038/nature10900
vanschoot2017 | 10.1117/1.jmm.16.4.041010
vanwyk1997 | 10.1088/0022-3727/30/12/016
verona2016 | 10.1063/1.4955469
viola1999 | 10.1103/physrevlett.82.2417
volpe2009 | 10.1063/1.3086397
volpe2010 | 10.1063/1.3520140
vorobyov2021 | 10.1038/s41534-021-00463-6
wagner2010 | 10.1038/nphoton.2009.251
waldherr2014 | 10.1038/nature12919
wan2020 | 10.1038/s41586-020-2441-3
weber2010 | 10.1073/pnas.1003052107
wehner2018 | 10.1126/science.aam9288
wei1993 | 10.1103/physrevlett.70.3764
widlar1971 | 10.1109/jssc.1971.1050151
widmann2015 | 10.1038/nmat4145
wolf2015 | 10.1103/physrevx.5.041001
wolfowicz2021 | 10.1038/s41578-021-00306-y
wort2008 | 10.1016/s1369-7021(07)70349-8
wrachtrup2006 | 10.1088/0953-8984/18/21/s08
wu2019 | 10.1038/s41534-019-0129-z
xie2023 | 10.1103/physrevlett.130.030601
yamada2014 | 10.1063/1.4868720
yamamoto2013 | 10.1103/physrevb.88.075206
yan2002 | 10.1073/pnas.152464799
yang2008 | 10.1103/physrevb.78.085315
yao2012 | 10.1038/ncomms1788
yater2000 | 10.1063/1.373505
yu2018 | 10.1109/led.2018.2862158
zhao2012 | 10.1103/physrevb.85.115303
zhao2024 | 10.1109/led.2024.3485683
zhu2011 | 10.1038/nature10462
ziegler2010 | 10.1016/j.nimb.2010.02.091
zu2014 | 10.1038/nature13729
zu2021 | 10.1038/s41586-021-03763-1
